"n"
"Ixodida" 5
"Jahnulales" 1
"Jungermanniales" 261
"Kinetoplastea" 7
"Ktedonobacterales" 2
"Lactobacillales" 72
"Lamiales" 5859
"Laminariales" 98
"Lamniformes" 3
"Laurales" 838
"Lecanorales" 312
"Lecideales" 2
"Legionellales" 3
"Leotiales" 7
"Lepidoptera" 137
"Leptomitales" 2
"Leptothecata" 12
"Leucosolenida" 6
"Leucosporidiales" 1
"Liceales" 22
"Lichinales" 1
"Liliales" 528
"Littorinimorpha" 13
"Longamoebia" 2
"Loxosporales" 1
"Lucinida" 1
"Lulworthiales" 1
"Lunulariales" 1
"Lycopodiales" 175
"Lyssacinosida" 5
"Magnaporthales" 30
"Magnoliales" 1319
"Malasseziales" 7
"Malpighiales" 3314
"Malvales" 902
"Mamiellales" 5
"Marattiales" 5
"Marchantiales" 98
"Mazocraeidea" 3
"Megaloptera" 1
"Meliolales" 12
"Merliida" 1
"Mesostigmata" 4
"Methanobacteriales" 5
"Methanococcales" 1
"Methanomicrobiales" 1
"Methanosarcinales" 2
"Methylococcales" 7
"Methylophilales" 1
"Metteniusales" 5
"Metzgeriales" 23
"Microascales" 56
"Microbotryales" 1
"Micrococcales" 67
"Micromonosporales" 304
"Microstromatales" 2
"Miliolida" 6
"Mortierellales" 18
"Mucorales" 72
"Mycoplasmatales" 2
"Myida" 1
"Myriangiales" 4
"Myrtales" 970
"Mytilida" 31
"Mytilinidiales" 2
"Myxococcales" 229
"Neisseriales" 28
"Neogastropoda" 45
"Neuroptera" 2
"Nitrosomonadales" 1
"Noctilucales" 1
"Notomyotida" 1
"Nudibranchia" 125
"Nymphaeales" 42
"Oceanospirillales" 14
"Ochromonadales" 3
"Octopoda" 3
"Odonata" 2
"Oegopsida" 4
"Oltmansiellopsidales" 1
"Onygenales" 77
"Ophioglossales" 6
"Ophiostomatales" 18
"Ophiurida" 9
"Opiliones" 1
"Orbiliales" 6
"Orthoptera" 19
"Orthotrichales" 1
"Osmeriformes" 3
"Osmundales" 9
"Ostreida" 17
"Ostropales" 20
"Oxalidales" 86
"Pallaviciniales" 8
"Pandanales" 138
"Pantopoda" 1
"Paracryphiales" 1
"Pasteurellales" 2
"Patellariales" 4
"Paxillosida" 25
"Pectinida" 19
"Pelagomonadales" 2
"Pelliales" 12
"Peltigerales" 69
"Pennatulacea" 14
"Peramelemorphia" 1
"Peridiniales" 14
"Pertusariales" 23
"Petromyzontiformes" 2
"Pezizales" 51
"Phaeotrichales" 1
"Phallales" 11
"Phasmatodea" 99
"Phyllachorales" 1
"Phyllodocida" 16
"Physariida" 22
"Picramniales" 19
"Pinales" 678
"Piperales" 799
"Plagiorchiida" 12
"Planctomycetales" 1
"Platycopida" 1
"Platygloeales" 2
"Pleosporales" 1028
"Pleurobranchomorpha" 5
"Pleuroziales" 2
"Pneumocystidales" 2
"Poales" 978
"Podocopida" 1
"Poduromorpha" 2
"Poecilosclerida" 226
"Poecilostomatoida" 1
"Polycladida" 4
"Polydesmida" 1
"Polymastiida" 4
"Polypodiales" 444
"Polyporales" 663
"Polytrichales" 11
"Polyzoniida" 1
"Porellales" 116
"Pottiales" 3
"Prasinococcales" 1
"Primates" 87
"Proboscidea" 1
"Propionibacteriales" 14
"Prorocentrales" 10
"Proteales" 122
"Prymnesiales" 3
"Pseudoditrichales" 2
"Pseudomonadales" 403
"Pseudonocardiales" 348
"Psilotales" 8
"Ptilidiales" 6
"Pucciniales" 5
"Pyramimonadales" 4
"Pyrenulales" 9
"Pyrosomata" 1
"Ralfsiales" 3
"Ranunculales" 2892
"Rhabditida" 22
"Rhizobiales" 80
"Rhizocarpales" 2
"Rhizogoniales" 3
"Rhizostomeae" 2
"Rhodellales" 1
"Rhodobacterales" 45
"Rhodospirillales" 26
"Rhynchonellida" 3
"Rhytismatales" 17
"Rodentia" 59
"Rosales" 2321
"Rotaliida" 3
"Rubrobacterales" 2
"Russulales" 294
"Sabellida" 3
"Saccharomycetales" 104
"Sacoglossa" 22
"Salmoniformes" 9
"Salpida" 2
"Salviniales" 8
"Santalales" 184
"Sapindales" 4085
"Sarcinochrysidales" 2
"Sarcoptiformes" 12
"Sauria" 48
"Saxifragales" 565
"Schizaeales" 18
"Schizosaccharomycetales" 4
"Scleractinia" 20
"Scolopendromorpha" 5
"Scorpiones" 2
"Selaginellales" 47
"Semaeostomeae" 2
"Seriata" 1
"Sessilia" 3
"Siluriformes" 4
"Solanales" 1798
"Solirubrobacterales" 1
"Sordariales" 269
"Spatangoida" 5
"Sphacelariales" 3
"Sphaerocarpales" 2
"Sphaeropleales" 7
"Sphagnales" 5
"Sphingobacteriales" 9
"Sphingomonadales" 20
"Spinulosida" 13
"Spirobolida" 1
"Spirochaetales" 2
"Spirostreptida" 1
"Spongillida" 1
"Sporidiobolales" 19
"Sporochnales" 7
"Squaliformes" 4
"Stemonitida" 1
"Stolidobranchia" 55
"Streptomycetales" 5586
"Streptosporangiales" 249
"Strigeidida" 1
"Stylommatophora" 16
"Stylonematales" 1
"Suberitida" 159
"Sulfolobales" 7
"Synurales" 1
"Syringodermatales" 1
"Systellommatophora" 8
"Takakiales" 1
"Taphrinales" 8
"Teloschistales" 40
"Temnopleuroida" 5
"Terebellida" 3
"Terebratulida" 1
"Tethyida" 17
"Tetractinellida" 259
"Tetraphidales" 1
"Tetrasporales" 3
"Thelephorales" 60
"Thermales" 10
"Thermoanaerobacterales" 1
"Thermococcales" 6
"Thermoplasmatales" 2
"Thermotogales" 3
"Thiotrichales" 2
"Tilletiales" 1
"Trachycladida" 5
"Trapeliales" 1
"Tremellales" 15
"Trichiida" 19
"Trichosphaeriales" 27
"Tritirachiales" 2
"Trochodendrales" 5
"Trombidiformes" 4
"Trypetheliales" 5
"Tubeufiales" 7
"Ulotrichales" 3
"Ulvales" 28
"Umbelopsidales" 3
"Umbilicariales" 19
"Umbraculida" 2
"Unionida" 3
"Ustilaginales" 16
"Valvatida" 78
"Veillonellales" 1
"Velatida" 8
"Venerida" 15
"Venturiales" 5
"Verongiida" 134
"Verrucariales" 2
"Verrucomicrobiales" 3
"Vibrionales" 50
"Vitales" 300
"Wallemiales" 3
"Welwitschiales" 2
"Xanthomonadales" 26
"Xenopneusta" 1
"Xiphosura" 3
"Xylariales" 538
"Zingiberales" 727
"Zoantharia" 36
"Zoopagales" 1
"Zygophyllales" 141
