"n"
"Briareidae" 63
"Brissidae" 2
"Bromeliaceae" 44
"Brucellaceae" 2
"Bryaceae" 11
"Bryopsidaceae" 8
"Bubaridae" 4
"Buccinidae" 3
"Bufonidae" 45
"Bugulidae" 25
"Bulgariaceae" 5
"Bullidae" 3
"Buprestidae" 1
"Burkholderiaceae" 93
"Burseraceae" 162
"Buthidae" 2
"Buxaceae" 143
"Byblidaceae" 1
"Byssolomataceae" 2
"Cabombaceae" 1
"Cactaceae" 114
"Cadlinidae" 11
"Calanidae" 2
"Calceolariaceae" 19
"Caliphyllidae" 3
"Calliostomatidae" 1
"Calliphoridae" 3
"Callyspongiidae" 35
"Calophyllaceae" 208
"Calostomataceae" 1
"Calthropellidae" 1
"Calycanthaceae" 11
"Calyceraceae" 3
"Calypogeiaceae" 10
"Cambaridae" 4
"Campanulaceae" 152
"Campanulariidae" 4
"Campylobacteraceae" 2
"Campynemataceae" 1
"Cancridae" 7
"Candelariaceae" 1
"Canellaceae" 35
"Canidae" 4
"Cannabaceae" 205
"Cannaceae" 1
"Cantharellaceae" 15
"Cantharidae" 2
"Capnodiaceae" 5
"Capparaceae" 61
"Caprifoliaceae" 331
"Carabidae" 2
"Carangidae" 3
"Carcharhinidae" 3
"Cardiidae" 2
"Cardiopteridaceae" 4
"Caricaceae" 30
"Carnobacteriaceae" 4
"Caryocaraceae" 7
"Caryophyllaceae" 300
"Caryophylliidae" 1
"Cassidae" 1
"Castoridae" 1
"Casuarinaceae" 10
"Catenicellidae" 6
"Catenulisporaceae" 3
"Catillariaceae" 2
"Caulerpaceae" 33
"Caulobacteraceae" 37
"Celastraceae" 602
"Cellulomonadaceae" 1
"Centroplacaceae" 4
"Centropomidae" 1
"Cephalodiscidae" 9
"Cephalotaceae" 1
"Cephalothricidae" 1
"Cephaloziaceae" 4
"Cephaloziellaceae" 1
"Cerambycidae" 18
"Ceramiaceae" 1
"Ceratiaceae" 1
"Ceratiomyxaceae" 1
"Ceratobasidiaceae" 21
"Ceratocystidaceae" 13
"Ceratophyllaceae" 1
"Cercidiphyllaceae" 7
"Cercopithecidae" 1
"Cervidae" 3
"Chaetiliidae" 1
"Chaetomellaceae" 3
"Chaetomiaceae" 205
"Chaetopeltidaceae" 1
"Chaetophoraceae" 1
"Chaetosphaeriaceae" 9
"Chalinidae" 77
"Channichthyidae" 1
"Characeae" 23
"Characidae" 2
"Charcotiidae" 4
"Cheiragonidae" 2
"Chenopodiaceae" 283
"Chironomidae" 1
"Chitinophagaceae" 5
"Chitonidae" 2
"Chlamydomonadaceae" 8
"Chloranthaceae" 68
"Chlorellaceae" 27
"Chlorobiaceae" 4
"Chlorococcaceae" 2
"Chlorodendraceae" 3
"Chloroflexaceae" 2
"Choanephoraceae" 7
"Chondracanthidae" 1
"Chondrillidae" 3
"Chondropsidae" 19
"Chondrosiidae" 3
"Chordaceae" 4
"Chordariaceae" 7
"Chromatiaceae" 7
"Chromobacteriaceae" 28
"Chromochloridaceae" 1
"Chromodorididae" 39
"Chrysobalanaceae" 35
"Chrysomelidae" 16
"Chrysopidae" 1
"Chrysotrichaceae" 1
"Chrysozymaceae" 1
"Cibotiaceae" 3
"Cicadellidae" 2
"Cicadidae" 2
"Cichlidae" 7
"Cimicidae" 2
"Cionidae" 4
"Cistaceae" 46
"Cladoniaceae" 29
"Cladophoraceae" 12
"Cladosporiaceae" 65
"Cladostephaceae" 2
"Clathriidae" 5
"Clausiliidae" 1
"Clavariaceae" 2
"Clavariadelphaceae" 2
"Clavelinidae" 16
"Clavicipitaceae" 176
"Clavulariidae" 61
"Clavulinaceae" 1
"Cleomaceae" 48
"Clethraceae" 2
"Clionaidae" 19
"Clionidae" 1
"Clostridiaceae" 9
"Clupeidae" 3
"Clusiaceae" 384
"Cobitidae" 2
"Coccidae" 9
"Coccinellidae" 22
"Coccocarpiaceae" 1
"Codiaceae" 13
"Coelogorgiidae" 1
"Coelosphaeridae" 8
"Colchicaceae" 98
"Collemataceae" 5
"Colletidae" 2
"Colubridae" 2
"Columelliaceae" 4
"Colwelliaceae" 2
"Comamonadaceae" 17
"Comatulidae" 12
"Combretaceae" 169
"Comesomatidae" 9
"Commelinaceae" 14
"Conexibacteraceae" 1
"Conidae" 5
"Coniochaetaceae" 10
"Coniocybaceae" 1
"Coniophoraceae" 1
"Coniothyriaceae" 16
"Connaraceae" 7
"Conocephalaceae" 17
"Convolvulaceae" 250
"Corallinaceae" 16
"Corallistidae" 4
"Cordiaceae" 54
"Cordycipitaceae" 153
"Coreidae" 2
"Coriariaceae" 15
"Corixidae" 1
"Cornaceae" 109
"Coronophoraceae" 1
"Corsiniaceae" 3
"Corticiaceae" 3
"Cortinariaceae" 93
"Corvidae" 1
"Corydalidae" 1
"Corynebacteriaceae" 14
"Corynesporascaceae" 10
"Corynocarpaceae" 3
"Coryphaenidae" 1
"Cossidae" 3
"Costaceae" 27
"Cotingidae" 1
"Coulaceae" 6
"Coxiellaceae" 1
"Crambeidae" 10
"Crambidae" 5
"Crangonidae" 1
"Crassulaceae" 197
"Crellidae" 5
"Cribrariaceae" 7
"Cricetidae" 1
"Crocodylidae" 2
"Cronartiaceae" 1
"Crossosomataceae" 1
"Cryphonectriaceae" 3
"Crypteroniaceae" 2
"Cryptobasidiaceae" 1
"Cryptomycetaceae" 2
"Cryptosulidae" 1
"Ctenodiscidae" 2
"Cucumariidae" 26
"Cucurbitaceae" 441
"Cucurbitariaceae" 10
"Cudoniaceae" 1
"Culicidae" 3
"Cunninghamellaceae" 12
"Cunoniaceae" 6
"Cupressaceae" 545
"Curculionidae" 12
"Cutleriaceae" 2
"Cyanophoraceae" 1
"Cyatheaceae" 13
"Cycadaceae" 13
"Cyclobacteriaceae" 3
"Cyclophoridae" 1
"Cydnidae" 1
"Cymodoceaceae" 8
"Cynomoriaceae" 8
"Cyperaceae" 121
"Cyphellaceae" 23
"Cypraeidae" 1
"Cyprinidae" 9
"Cyrenidae" 3
"Cystobacteraceae" 60
"Cystobasidiaceae" 3
"Cystofilobasidiaceae" 1
"Cystopteridaceae" 7
"Cytinaceae" 2
"Cytophagaceae" 23
"Cyttariaceae" 2
"Dacrymycetaceae" 1
"Dalatiidae" 1
"Dalodesmidae" 1
"Daphniidae" 14
"Daphniphyllaceae" 77
"Darwinellidae" 32
"Dasycladaceae" 32
"Datiscaceae" 7
"Davalliaceae" 16
"Davidiellaceae" 3
"Debaryomycetaceae" 16
"Degeneriaceae" 1
"Deinococcaceae" 3
"Delesseriaceae" 1
"Delitschiaceae" 5
"Delphacidae" 2
"Delphinidae" 1
"Deltocyathidae" 1
"Dendrobatidae" 14
"Dendrocerotaceae" 2
"Dendrodorididae" 11
"Dendrophylliidae" 8
"Dennstaedtiaceae" 54
"Derbesiaceae" 2
"Dermacoccaceae" 3
"Dermateaceae" 32
"Dermochelyidae" 1
"Desmarestiaceae" 7
"Desulfurobacteriaceae" 2
"Diadematidae" 3
"Diapensiaceae" 2
"Diaporthaceae" 194
"Diaspididae" 2
"Diatrypaceae" 37
